BankAccount,Card,Name,Age,Phone,Sex,City,ProductType,Amount
1740-6279-8061,americanexpress,Roberto Le Friec,31,611-492-0665,Male,Mataquescuintla,Tools,$5606.99
4881-0189-5857,mastercard,Jamey Vaz,36,690-511-5811,Male,Turmi,Computers,$4168.16
5137-2772-5611,laser,Marsh Worboy,27,134-101-6933,Male,Bessonovka,Games,$4459.76
0497-7764-4463,mastercard,Joanne Sheron,53,803-324-4223,Female,Shangmofang,Outdoors,$4477.95
1389-6037-5890,jcb,Waldon Sporgeon,23,666-238-9346,Male,Xinxing,Industrial,$3956.63
4031-3444-6799,laser,Tera Schultz,52,701-724-9823,Female,Wanquan,Outdoors,$8924.98
6483-4236-6914,jcb,Becky Bosson,46,732-466-0795,Female,Dagang,Health,$3767.57
9844-7506-2761,visa-electron,Hillary Androsik,41,151-561-2123,Female,Grojec,Music,$7250.55
1320-7937-8334,visa,Spike Solesbury,32,843-323-5335,Male,Pau,Music,$4677.19
8792-2785-4743,jcb,Leanora Grimstead,59,748-556-1320,Female,Yanac,Music,$3438.87
6368-5942-5322,china-unionpay,Sean Kos,18,147-682-6187,Male,Profítis Ilías,Computers,$8459.87
0873-3367-4334,maestro,Dawn Braam,30,374-331-7642,Female,Changshengqiao,Computers,$5885.51
8516-7771-3589,instapayment,Daphna Dooney,45,214-319-5560,Female,Garland,Home,$7021.11
0066-4932-1395,jcb,Maryanne Shucksmith,46,731-883-1350,Female,Bojongsarung,Beauty,$6499.77
2473-9794-6266,jcb,Stepha Alves,64,472-411-8667,Female,Tongxing,Books,$560.46
7350-6664-2256,jcb,Pedro Yeaman,44,381-919-8619,Male,Kaca,Beauty,$5572.85
9552-8210-6887,mastercard,Tiffanie Syseland,42,249-966-5482,Female,Zhongyuan,Automotive,$680.40
7499-0202-4837,jcb,Emma Crisall,35,977-375-9072,Female,Massy,Tools,$9301.42
5926-7571-6341,visa,Dita Loblie,23,906-800-8594,Female,Ferreira,Music,$184.51
4110-1675-7738,switch,Christos Bear,42,147-255-7230,Male,Luthu,Electronics,$2227.07
